SampleID	PotNum	Timepoint	Position	Inoculum	CondLin	Clone	GEO	SeedLin	INHBTR	BAC	FUN	OOM	Treat	Rep	SeqRn
72t2	72	t2	222	Live	Native	Shia25	CM	Native	BAC	NO	YES	YES	5	3	Two
73t0	73	t0	79	Live	Native	Shia25	CM	Native	OOM	YES	YES	NO	9	3	Three
73t1	73	t1	79	Live	Native	Shia25	CM	Native	OOM	YES	YES	NO	9	3	Three
73t2	73	t2	79	Live	Native	Shia25	CM	Native	OOM	YES	YES	NO	9	3	Three
75t0	75	t0	31	Live	Native	Shia25	CM	Native	FUNBAC	NO	NO	YES	13	3	Three
75t2	75	t2	31	Live	Native	Shia25	CM	Native	FUNBAC	NO	NO	YES	13	3	Three
76t0	76	t0	289	Live	Native	Shia25	CM	Native	BACOOM	NO	YES	NO	21	3	Three
76t2	76	t2	289	Live	Native	Shia25	CM	Native	BACOOM	NO	YES	NO	21	3	Three
77t0	77	t0	75	Live	Native	Shia25	CM	Native	BAC	NO	YES	YES	5	2	Three
77t2	77	t2	75	Live	Native	Shia25	CM	Native	BAC	NO	YES	YES	5	2	Three
78t0	78	t0	121	Live	Native	Shia25	CM	Native	FUNOOM	YES	NO	NO	17	3	Three
78t2	78	t2	121	Live	Native	Shia25	CM	Native	FUNOOM	YES	NO	NO	17	3	Three
79t0	79	t0	278	Live	Native	Shia25	CM	Native	NONE	YES	YES	YES	25	3	Three
79t2	79	t2	278	Live	Native	Shia25	CM	Native	NONE	YES	YES	YES	25	3	Three
80t0	80	t0	181	Live	Native	Shia25	CM	Native	FUN	YES	NO	YES	1	3	Two
80t1	80	t1	181	Live	Native	Shia25	CM	Native	FUN	YES	NO	YES	1	3	Two
80t2	80	t2	181	Live	Native	Shia25	CM	Native	FUN	YES	NO	YES	1	3	Two
81t0	81	t0	141	Live	Native	Shia25	CM	NonNative	BAC	NO	YES	YES	6	2	Two
81t1	81	t1	141	Live	Native	Shia25	CM	NonNative	BAC	NO	YES	YES	6	2	Two
81t2	81	t2	141	Live	Native	Shia25	CM	NonNative	BAC	NO	YES	YES	6	2	Two
83t0	83	t0	303	Live	Native	Shia25	CM	NonNative	BAC	NO	YES	YES	6	3	Two
83t1	83	t1	303	Live	Native	Shia25	CM	NonNative	BAC	NO	YES	YES	6	3	Two
83t2	83	t2	303	Live	Native	Shia25	CM	NonNative	BAC	NO	YES	YES	6	3	Two
85t0	85	t0	270	Live	Native	Shia25	CM	NonNative	FUNOOM	YES	NO	NO	18	3	Three
85t2	85	t2	270	Live	Native	Shia25	CM	NonNative	FUNOOM	YES	NO	NO	18	3	Three
86t0	86	t0	105	Live	Native	Shia25	CM	NonNative	NONE	YES	YES	YES	26	3	Three
86t2	86	t2	105	Live	Native	Shia25	CM	NonNative	NONE	YES	YES	YES	26	3	Three
87t0	87	t0	158	Live	Native	Shia25	CM	NonNative	FUN	YES	NO	YES	2	3	Three
87t2	87	t2	158	Live	Native	Shia25	CM	NonNative	FUN	YES	NO	YES	2	3	Three
88t0	88	t0	171	Live	Native	Shia25	CM	NonNative	FUNBAC	NO	NO	YES	14	3	Three
88t1	88	t1	171	Live	Native	Shia25	CM	NonNative	FUNBAC	NO	NO	YES	14	3	Three
88t2	88	t2	171	Live	Native	Shia25	CM	NonNative	FUNBAC	NO	NO	YES	14	3	Three
89t0	89	t0	277	Live	Native	Shia25	CM	NonNative	OOM	YES	YES	NO	10	3	Three
89t2	89	t2	277	Live	Native	Shia25	CM	NonNative	OOM	YES	YES	NO	10	3	Three
